"Age","Gender","HasKids","EduLvl","WorkStatus","AnnualIncome","Occupation","YrsJobHeld","MosJobHeld","CommunitySz","CntryOfRes","MaritalStat","NumSons","NumDaughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfLabeled","OthersLabel","DPMean","AIPMean","GPMean","SWLSMean"
67.5,"Male",1,"ma","retired",25000,NA,9,0,"Large-City","El Salvador","Divorced",0,5,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,5,5,5,5,5,5,0,0,1.4,1.4,1.6,5
45,"Male",1,"deg","part-time",35000,NA,0,0,"Village","Bolivia","Married",1,1,3,4,3,3,3,3,1,4,3,3,4,3,3,3,3,4,2,2,2,4,4,2,2,2,2,2,4,2,4,2,3,4,2,2,3,4,3,3,4,4,3,4,4,4,3,1,1,3.2,2.93,2.9,3.6
19,"Female",0,"dip","student",NA,NA,0,0,"Large Town","Cyprus","Single",0,0,5,5,2,3,3,5,4,4,5,5,5,5,4,5,5,4,3,5,4,3,5,2,2,4,3,1,3,2,5,4,5,5,3,4,5,2,3,5,5,4,2,2,2,3,4,1,1,3.6,4.4,3.6,2.6
37.5,"Male",1,"ma","full-time",45000,NA,14,0,"Large Town","Czech Republic","Married",0,1,3,3,3,3,3,2,1,4,3,5,3,4,5,4,5,4,3,4,2,1,4,1,3,3,2,3,4,5,4,1,3,4,3,3,4,4,3,4,5,1,2,4,2,2,2,1,1,3,3.33,3.2,2.4
28,"Female",0,"deg","full-time",35000,NA,1,0,"Village","Czech Republic","Single",0,0,3,3,2,1,1,1,1,3,3,2,2,2,2,1,1,2,1,2,1,2,4,1,2,4,5,2,4,2,4,1,2,3,2,4,3,2,3,2,3,4,4,4,4,3,4,0,0,2,1.73,2.85,3.8
23,"Female",0,"deg","full-time",15000,NA,1,0,"Small Town","Czech Republic","Single",0,0,3,4,3,2,2,2,5,5,5,5,3,5,4,4,5,3,5,4,5,5,5,5,2,5,4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,3,2,4,4,3,1,1,2.8,4.33,4,3.2
67.5,"Female",0,"ma","part-time",NA,NA,8,0,"Large Town","Morocco","Divorced",0,0,3,4,3,2,2,3,1,1,2,3,3,1,4,5,5,3,2,3,1,4,4,1,1,1,1,2,3,2,4,1,4,2,3,2,4,3,1,4,4,2,3,4,3,3,2,1,1,2.8,2.73,2.45,3
37.5,"Male",0,"grade","part-time",10000,NA,NA,0,"Village","Ukraine","Single",0,0,4,3,4,4,3,4,4,4,4,4,2,5,2,4,3,2,4,3,4,5,5,1,3,4,3,3,4,3,4,4,3,5,2,2,4,4,3,4,4,4,3,3,3,2,3,1,1,3.6,3.6,3.45,2.8
24,"Female",0,"ma","full-time",250000,NA,2,0,"Village","Ukraine","Single",0,0,2,2,4,4,4,3,3,3,4,4,2,2,4,2,2,4,4,4,3,3,3,4,3,4,2,2,4,2,4,1,5,2,3,2,1,5,5,1,1,3,4,4,5,4,4,0,0,3.2,3.13,2.85,4.2
45,"Male",1,"ma","full-time",87500,NA,14,0,"Village","Qatar","Married",0,0,5,5,5,5,5,3,3,5,3,5,1,5,5,5,5,4,4,4,4,5,5,3,3,1,5,5,5,4,5,3,5,5,4,4,4,5,3,5,5,5,1,4,2,4,1,1,1,5,4.07,4.2,2.4
32.5,"Male",1,"dip","full-time",25000,NA,6,0,"Rural/Country","Antigua","Divorced",0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,2,4,2,4,2,2,3,3,4,4,4,2,2,4,2,4,2,2,2,2,2,1,1,3,3,3,2
